,Date,weekday,cakes,pies,cookies,smoothies,coffee,promotion
0,1/1/2006,Sunday,45,41,50,19,73,promotion
1,1/2/2006,Monday,48,18,18,44,5,none
2,1/3/2006,Tuesday,1,40,99,41,8,none
3,1/4/2006,Wednesday,4,10,15,58,95,none
4,1/5/2006,Thursday,4,44,67,71,20,promotion
5,1/6/2006,Friday,40,27,104,39,76,promotion
6,1/7/2006,Saturday,10,21,10,26,5,none
7,1/8/2006,Sunday,20,58,59,74,68,promotion
8,1/9/2006,Monday,22,5,28,61,54,none
9,1/10/2006,Tuesday,37,43,76,72,67,promotion
10,1/11/2006,Wednesday,24,3,60,20,10,none
11,1/12/2006,Thursday,7,53,108,6,82,promotion
12,1/13/2006,Friday,25,40,48,7,29,none
13,1/14/2006,Saturday,25,20,118,28,97,promotion
14,1/15/2006,Sunday,13,53,48,26,95,promotion
15,1/16/2006,Monday,2,8,87,40,36,none
16,1/17/2006,Tuesday,39,32,33,22,69,none
17,1/18/2006,Wednesday,40,33,105,25,21,promotion
18,1/19/2006,Thursday,24,5,106,63,48,promotion
19,1/20/2006,Friday,47,53,54,50,95,promotion
20,1/21/2006,Saturday,25,28,5,52,30,none
21,1/22/2006,Sunday,18,25,30,14,37,none
22,1/23/2006,Monday,38,43,38,65,60,promotion
23,1/24/2006,Tuesday,26,56,43,20,37,none
24,1/25/2006,Wednesday,14,9,99,56,89,promotion
25,1/26/2006,Thursday,9,45,112,61,10,promotion
26,1/27/2006,Friday,10,54,103,74,79,promotion
27,1/28/2006,Saturday,21,27,22,40,52,none
28,1/29/2006,Sunday,17,39,23,56,5,none
29,1/30/2006,Monday,6,28,55,40,80,promotion
30,1/31/2006,Tuesday,16,35,63,59,10,none
31,2/1/2006,Wednesday,48,44,18,48,96,promotion
32,2/2/2006,Thursday,1,13,115,45,54,promotion
33,2/3/2006,Friday,19,48,4,16,92,none
34,2/4/2006,Saturday,36,9,19,44,20,none
35,2/5/2006,Sunday,25,41,70,55,38,promotion
36,2/6/2006,Monday,30,57,42,13,84,promotion
37,2/7/2006,Tuesday,20,46,35,4,18,none
38,2/8/2006,Wednesday,20,33,10,12,11,none
39,2/9/2006,Thursday,15,1,115,61,60,promotion
40,2/10/2006,Friday,40,48,116,33,15,promotion
41,2/11/2006,Saturday,33,18,93,2,61,promotion
42,2/12/2006,Sunday,2,13,33,64,49,none
43,2/13/2006,Monday,10,17,30,44,28,none
44,2/14/2006,Tuesday,33,54,97,24,83,promotion
45,2/15/2006,Wednesday,32,57,96,2,6,none
46,2/16/2006,Thursday,11,12,75,63,46,promotion
47,2/17/2006,Friday,24,16,10,56,5,none
48,2/18/2006,Saturday,36,29,22,51,41,none
49,2/19/2006,Sunday,12,52,62,35,99,promotion
50,2/20/2006,Monday,29,1,59,36,70,none
51,2/21/2006,Tuesday,35,47,56,65,10,promotion
52,2/22/2006,Wednesday,1,29,100,28,34,none
53,2/23/2006,Thursday,1,37,93,15,85,promotion
54,2/24/2006,Friday,37,19,10,10,41,none
55,2/25/2006,Saturday,6,18,49,12,88,none
56,2/26/2006,Sunday,39,26,43,31,44,none
57,2/27/2006,Monday,41,41,93,73,53,promotion
58,2/28/2006,Tuesday,18,26,70,19,80,promotion
59,3/1/2006,Wednesday,16,5,69,17,8,none
60,3/2/2006,Thursday,5,11,18,69,46,none
61,3/3/2006,Friday,42,34,49,15,39,none
62,3/4/2006,Saturday,43,23,113,12,49,promotion
63,3/5/2006,Sunday,32,34,65,2,25,none
64,3/6/2006,Monday,2,47,53,60,88,promotion
65,3/7/2006,Tuesday,2,19,5,72,70,none
66,3/8/2006,Wednesday,40,36,49,27,77,promotion
67,3/9/2006,Thursday,42,49,9,42,85,promotion
68,3/10/2006,Friday,36,21,104,42,13,promotion
69,3/11/2006,Saturday,39,6,50,49,93,promotion
70,3/12/2006,Sunday,12,59,89,69,36,promotion
71,3/13/2006,Monday,47,36,29,68,86,promotion
72,3/14/2006,Tuesday,19,48,58,3,6,none
73,3/15/2006,Wednesday,28,14,45,23,39,none
74,3/16/2006,Thursday,1,41,92,11,53,none
75,3/17/2006,Friday,15,40,108,45,82,promotion
76,3/18/2006,Saturday,36,31,39,7,56,none
77,3/19/2006,Sunday,13,12,69,38,66,none
78,3/20/2006,Monday,43,9,91,16,52,promotion
79,3/21/2006,Tuesday,21,58,25,66,13,none
80,3/22/2006,Wednesday,12,27,76,6,9,none
81,3/23/2006,Thursday,5,41,45,71,68,promotion
82,3/24/2006,Friday,7,32,26,27,62,none
83,3/25/2006,Saturday,5,27,55,9,37,none
84,3/26/2006,Sunday,48,51,53,73,14,promotion
85,3/27/2006,Monday,4,38,88,25,88,promotion
86,3/28/2006,Tuesday,13,20,92,49,72,promotion
87,3/29/2006,Wednesday,37,56,49,65,40,promotion
88,3/30/2006,Thursday,41,32,64,33,54,promotion
89,3/31/2006,Friday,15,7,21,60,95,none
90,4/1/2006,Saturday,16,52,20,66,37,none
91,4/2/2006,Sunday,21,38,61,32,47,none
92,4/3/2006,Monday,36,12,117,64,73,promotion
93,4/4/2006,Tuesday,24,16,12,25,75,none
94,4/5/2006,Wednesday,16,45,91,16,6,none
95,4/6/2006,Thursday,14,54,42,65,40,promotion
96,4/7/2006,Friday,22,5,42,24,3,none
97,4/8/2006,Saturday,49,36,7,59,20,none
98,4/9/2006,Sunday,6,51,98,72,58,promotion
99,4/10/2006,Monday,42,18,14,41,4,none
100,4/11/2006,Tuesday,36,45,116,42,56,promotion
101,4/12/2006,Wednesday,1,26,3,57,89,none
102,4/13/2006,Thursday,32,55,46,23,75,promotion
103,4/14/2006,Friday,6,59,73,44,87,promotion
104,4/15/2006,Saturday,31,13,30,61,2,none
105,4/16/2006,Sunday,1,1,86,15,20,none
106,4/17/2006,Monday,37,33,113,38,29,promotion
107,4/18/2006,Tuesday,35,7,96,41,30,promotion
108,4/19/2006,Wednesday,49,36,55,34,98,promotion
109,4/20/2006,Thursday,30,42,56,33,23,none
110,4/21/2006,Friday,4,41,73,60,8,none
111,4/22/2006,Saturday,35,20,51,29,9,none
112,4/23/2006,Sunday,43,36,48,48,42,promotion
